"-85.02811	32.46848"
"-85.02438	32.48527"
"-85.60972	33.93382"
"-86.68362	33.69569"
"-86.41124	32.45985"
"-86.45078	32.45947"
"-86.39003	32.46054"
"-88.111278	30.745236"
"-85.84698	34.49369"
"-88.13813	34.43898"
"-85.35928	33.15201"
"-87.293963	34.823878"
"-87.71725	34.51207"
"-88.1016	30.80196"
"-88.094	30.8313"
"-88.04622	30.87118"
"-86.03152	34.64844"
"-87.00344	32.43169"
"-87.03222	32.4311"
"-85.18279	32.8458"
"-87.69885	34.75619"
"-87.66927	34.77402"
"-86.02252	33.92335"
"-86.46727	33.76907"
"-85.81239	34.87397"
"-86.26096	33.16719"
"-86.08315	33.44059"
"-85.89887	32.53743"
"-86.765614	33.58955"
"-88.20669	30.56057"
"-88.17144	30.55352"
"-87.73956	31.925786"
"-88.169685	30.590847"
"-85.9444	31.8317"
"-86.61395	33.63958"
"-86.647866	33.596696"
"-87.56724	33.20285"
"-87.515697	33.261758"
"-87.54405	33.14672"
"-87.52987	33.1974"
"-87.52538	33.1652"
"-87.47939	33.19747"
"-87.66851	34.71275"
"-85.69357	32.42171"
"-85.71324	32.14625"
"-88.10976	33.75378"
"-86.790416	33.446224"
"-86.762516	33.411134"
"-86.81589	33.80902"
"-86.21432	32.50744"
"-86.21014	32.52014"
"-87.83599	33.935913"
"-85.83459	33.60032"
"-85.82799	33.60845"
"-94.22633	35.48645"
"-93.09505	34.11786"
"-91.591209	36.24525"
"-94.116302	33.6591"
"-92.937337	35.254401"
"-91.482521	35.386616"
"-91.64087	35.76808"
"-91.90863	35.06852"
"-92.634291	34.540344"
"-92.535279	34.60574"
"-92.58112	34.57289"
"-94.209686	36.372311"
"-94.178879	36.360226"
"-94.181297	36.385799"
"-94.22139	36.371571"
"-93.585312	36.377747"
"-89.91856	35.88944"
"-89.89307	35.92726"
"-93.92033	35.13994"
"-91.19778	34.90603"
"-92.4978	34.61373"
"-91.95943	34.93753"
"-92.037395	34.97801"
"-92.02502	34.97602"
"-93.070751	34.182907"
"-93.00694	33.5303"
"-94.284798	36.358307"
"-93.46539	35.45263"
"-92.45454	35.59082"
"-92.43993	35.11023"
"-92.47173	35.08786"
